p0 = 1
npnt = 441, nseg = 1240, ntri = 800
END OF HEADER
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
1.000000e+00 3.549648e-01 -3.549648e+00 1.000000e+00
